cluster_id,cluster_size,top_keywords
88,19,protein|peptides|hydrolysis|food|oil|10|proteins|samples|day|amino|larvae|water|fish|oxidation|et
89,25,attestation|blockchain|security|trust|device|authentication|key|data|signature|privacy|devices|network|scheme|protocol|user
90,43,ai|students|teachers|learning|user|design|data|agent|teacher|research|education|llm|cid|educational|analysis
91,53,emissions|energy|climate|co2|carbon|emission|cid|ghg|environmental|eu|impact|et|consumption|al|footprint
92,15,charging|ev|vehicles|stations|time|vehicle|data|parking|model|electric|station|trip|square|demand|cp
93,29,charging|ev|evs|battery|power|soc|energy|vehicle|grid|electric|kw|cid|session|figure|electricity
94,26,reads|sequencing|genes|gene|phage|genome|plasmid|data|species|bacteria|bins|samples|abundance|bacterial|dna
95,26,model|data|transmission|infection|disease|phage|models|interventions|bacterial|population|abundance|10|resistance|genome|protein
96,35,cid|training|neural|model|data|physics|torch|time|figure|magnetic|learning|loss|network|field|wave
97,33,transport|travel|cid|car|trips|bike|mobility|urban|public|transportation|copenhagen|trip|city|mode|people
98,28,cid|trains|train|time|station|maintenance|scheduling|rail|model|route|solution|assignment|network|algorithm|data
99,20,genetic|genome|data|population|dna|sequencing|10|gene|model|cid|reads|disease|default|individuals|repeat
100,24,cell|gene|genes|rna|cells|seq|data|expression|samples|disease|cancer|clusters|cluster|sequencing|single
101,20,enzyme|activity|substrate|enzymes|ph|acid|protein|figure|degradation|10|concentration|biomass|page|ml|substrates
102,17,substrate|fermentation|glucose|acid|acetate|biomass|concentration|cid|ph|anaerobic|growth|dh|production|oxygen|glycerol
103,50,strains|protein|fermentation|acid|glucose|food|bacteria|bacterial|milk|10|growth|ph|genes|proteins|cell
104,49,plasmid|gene|coli|protein|strains|plasmids|strain|gfp|pcr|expression|yeast|dna|genes|cell|proteins
105,16,image|latent|reconstruction|diffusion|model|decoder|images|variational|models|rgb|xt|generative|spectral|encoder|training
106,16,robot|image|liquid|automation|robotic|camera|detection|needle|vision|images|learning|arm|model|figure|robots
107,27,hydrogen|electrolyzer|power|wind|electrolyser|energy|production|pem|electricity|mw|plant|electrolysis|grid|renewable|hpp
108,23,neural|io|network|layer|training|model|bits|architecture|cid|neuron|hardware|tensor|val|input|networks
109,22,posterior|bayesian|cid|neural|sam|log|gradient|training|networks|learning|descent|model|momentum|variational|torch
110,54,eeg|sleep|data|model|signal|learning|10|np|figure|patients|hz|cid|dataset|brain|recording
111,35,muscle|device|data|pain|rehabilitation|participants|motor|jump|user|patients|force|sensor|figure|stroke|patient
112,47,image|images|face|facial|dataset|model|recognition|training|models|figure|trained|age|data|quality|learning
113,17,cid|power|bus|voltage|grid|000|network|load|energy|data|grids|figure|smart|distribution|neural
114,16,game|player|players|games|data|participants|user|engagement|character|eeg|llm|fatigue|dataset|cognitive|emotion
115,51,wind|power|energy|battery|hpp|solar|pv|electricity|storage|plant|grid|bess|capacity|mw|renewable
116,29,wind|offshore|energy|cid|island|farm|gw|power|electricity|projects|transmission|farms|market|costs|cost
117,27,cid|scene|light|rendering|ray|downto|terrain|tracing|triangle|sampling|gpu|image|const|camera|figure
118,16,ventilation|air|exhaust|rooms|patient|particle|cfd|mask|chamber|figure|flow|room|indoor|head|pressure
119,70,security|attack|attacks|malicious|data|network|ip|cyber|detection|packet|server|learning|web|used|machine
120,56,hearing|speech|stimuli|auditory|participants|noise|db|music|listening|sound|audio|subjects|gaze|hz|perception
121,25,heat|pump|heating|compressor|temperature|evaporator|cop|energy|air|exchanger|district|condenser|tube|water|transfer
122,48,heating|heat|temperature|district|energy|supply|temperatures|building|buildings|return|model|cooling|figure|cid|data
123,26,battery|energy|storage|market|price|power|electricity|bess|prices|day|markets|ahead|model|grid|fcr
124,24,energy|electricity|cid|market|price|demand|bid|wind|prices|model|community|power|pv|capacity|renewable
125,15,model|compliance|data|user|dataset|cid|models|contract|text|training|retrieval|performance|score|based|item
126,72,model|language|models|embeddings|dataset|training|data|text|word|arxiv|tokens|network|document|cid|learning
127,32,ventilation|air|temperature|airflow|indoor|ida|cooling|energy|window|room|buildings|heating|windows|heat|comfort
128,19,mobility|gender|data|travel|locations|users|stops|dataset|user|figure|time|home|location|women|human
129,17,pk|tpm|message|protocol|agent|translation|transaction|listing|pair|nb|protocols|let|send|security|na
130,27,cid|compiler|node|language|code|let|int|token|string|type|program|lemma|value|listing|tree
131,21,cid|image|scanner|reconstruction|mr|imaging|patient|figure|pet|data|magnetic|registration|clinical|signal|tumor
132,31,impedance|cid|acoustic|sound|frequency|microphone|figure|model|comsol|membrane|driver|ﬁeld|hz|pressure|tube
133,28,sound|microphone|room|cid|acoustic|spherical|frequency|figure|reconstruction|hz|source|noise|wave|field|audio
134,15,daylight|cid|shading|view|light|simulation|lighting|engine|color|figure|image|visual|images|solar|perception
135,16,vehicle|control|path|controller|vessel|motion|ship|autonomous|velocity|cid|surge|trajectory|model|simulation|figure
136,68,robot|robotic|learning|control|controller|reinforcement|robots|drone|figure|policy|object|cid|autonomous|sensor|reward
137,29,image|images|data|ship|camera|radar|detection|model|figure|ships|sar|training|learning|vessel|lidar
138,55,camera|image|navigation|robot|cid|figure|gnss|lidar|algorithm|sensor|map|drone|data|images|kalman
139,22,iot|lora|device|network|data|devices|power|server|node|prototype|nb|tracker|message|communication|wi
140,19,5g|network|drone|communication|latency|mobile|cellular|radio|device|traffic|figure|nr|networks|power|packet
141,22,women|gender|female|bias|male|entrepreneurship|415|leadership|diversity|men|cid|females|companies|interview|questions
142,15,anxiety|children|child|emergency|cid|hospital|data|patient|game|ecg|prototype|pain|care|waiting|patients
143,40,user|data|users|app|design|cognitive|mental|participants|prototype|health|tracking|time|visualization|figure|usability
144,35,segmentation|training|images|image|model|cid|data|learning|figure|dataset|network|models|tumor|brain|label
145,23,blood|tissue|model|segmentation|heart|figure|ct|image|wall|pet|stress|comsol|imaging|roi|10
146,19,energy|ventilation|indoor|thermal|building|heating|heat|pool|buildings|temperature|cooling|air|ida|kwh|greenland
147,58,indoor|buildings|temperature|ventilation|building|sleep|air|comfort|co2|thermal|climate|figure|occupants|energy|room
148,35,detection|image|object|bounding|camera|learning|images|figure|vision|data|model|training|feature|dataset|road
149,19,segmentation|training|image|object|images|model|mask|dataset|learning|corrosion|classification|video|semantic|figure|bounding
150,39,agile|startup|team|employees|startups|management|work|teams|project|managers|social|leadership|people|interviews|company
151,48,waste|food|recycling|plastic|cid|packaging|meat|fractions|products|environmental|recycled|plastics|figure|management|material
152,36,lca|building|waste|sustainability|buildings|energy|concrete|environmental|materials|construction|material|steel|og|impact|life
153,27,circular|product|economy|ce|design|construction|demolition|sustainability|et|al|materials|process|companies|tool|waste
154,36,business|sustainability|innovation|startups|market|company|companies|entrepreneurship|regenerative|social|sustainable|funding|ecosystem|startup|og
